域,信号,口径,形态,K,tilt,gross,te,tw,n,net13,ir13,net20,ir20,net25,ir25
csi1000,下尾,中性化,tilt,0.2,1.5,0.06136559951904775,0.020738157867028213,0.09769479989597432,483,0.03063081547177423,1.4756054398931049,0.014081316369396175,0.6774116926331465,0.0022602455819832816,0.10858620591614958
csi1000,下尾,中性化,tilt,0.2,2.0,0.06398628356152808,0.02348720192773117,0.11380810367552309,483,0.028182254145208502,1.198074635227661,0.008903161382574899,0.37792373236340066,-0.004867619162163394,-0.20634280679922487
csi1000,下尾,中性化,tilt,0.3,1.5,0.07844982704892849,0.027975026347567027,0.12675730630757343,483,0.03857197848456588,1.378869134796955,0.01709929079606294,0.6109934692457065,0.0017616567328465572,0.06291508606542344
csi1000,下尾,中性化,tilt,0.3,2.0,0.07946538727701664,0.030670838794748998,0.1410341419777327,483,0.035096046210821935,1.1441818596024014,0.01120486255979402,0.365134248717325,-0.00586026861951164,-0.19087731141625922
csi1000,下尾,中性化,topn,0.3,1.0,0.08594478654700975,0.05022805221584093,0.23435915601329413,483,0.012215396065227415,0.24303320766581565,-0.027485044963424615,-0.5465080677651518,-0.0558425028410332,-1.1097843398920266
csi1000,下尾,中性化,topn,0.5,1.0,0.0766573922703087,0.03768875200840947,0.1663366198490127,483,0.024327891665809304,0.6451559689844556,-0.0038495317366134575,-0.10202660168877929,-0.02397626273834399,-0.6351096525269719
gz2000,对称,原始,exclude,0.1,1.0,0.07842083275318146,0.011964513788115607,0.07386907964380471,484,0.0551816202972405,4.6045287518772,0.04266819820557998,3.5486960987289136,0.03373003956867961,2.795922160499257
gz2000,对称,原始,exclude,0.2,1.0,0.1060179237902048,0.019493879440670592,0.09850817338497417,484,0.07502725244329193,3.841534728061217,0.05833996787187731,2.981316664482261,0.046420478892295426,2.36797806174476
gz2000,对称,原始,exclude,0.3,1.0,0.12029146563145333,0.026583598996915918,0.12764938694097105,484,0.08013296849982382,3.0091583262005757,0.05850916235202334,2.193821021316487,0.04306358653216584,1.6125453525923858
gz2000,对称,原始,exclude,0.4,1.0,0.14236833558243234,0.03340510376114376,0.1593059951025902,484,0.09225066952315746,2.754562196864171,0.0652642339527787,1.945276795071885,0.04598820854536527,1.3687386262213854
gz2000,对称,原始,tilt,0.2,1.5,0.11110797190852276,0.02302725915831679,0.11586158713663935,484,0.07465791659533604,3.2362400051673776,0.055030963734389315,2.3815058410864873,0.04101171169085596,1.7722033107221147
gz2000,对称,原始,tilt,0.2,2.0,0.11526412197051202,0.02649806137132193,0.13098728654926048,484,0.07405552162211468,2.789729198590302,0.05186627528066995,1.950900405768228,0.036016813608209436,1.3529712030499723
gz2000,对称,原始,tilt,0.3,1.5,0.12447956798702532,0.030985836278085346,0.14349626865481274,484,0.07933564186822123,2.5564932878897446,0.05502737395809596,1.7709691498461653,0.0376643254508636,1.2108592106886915
