feat,gain_down,gain_up,share_down,share_up,下尾偏好,family,agg
queue_position_at_fill_skew_5m|std,2380.2910919189453,998.623703956604,0.0010493627773989335,0.0009585647546164705,9.079802278246299e-05,队列/排队,std
lemon_sell_into_strength_5m|lh,1090.7973976135254,407.8005027770996,0.0004808832796229427,0.0003914419288549061,8.944135076803658e-05,其他,lh
frame_break_withdrawal_5m|lh,1107.6796035766602,415.76829719543457,0.0004883258813275157,0.00039909010190666215,8.923577942085355e-05,撤单/犹豫,lh
retained_demand_imb_5m|lh,1240.284502029419,482.26610469818115,0.0005467853886581547,0.000462920405832808,8.386498282534672e-05,其他,lh
tit_for_tat_retaliation_5m|std,718.3646011352539,245.02599906921387,0.0003166944898426888,0.0002351969873555526,8.149750248713617e-05,其他,std
limit_lock_t1_overhang_5m|mean,406.8416004180908,104.74150276184082,0.0001793580765081873,0.00010053988553973614,7.881819096845117e-05,涨跌停/封板,mean
order_footprint_persistence_5m|lh,503.36399841308594,157.02699851989746,0.0002219104399502475,0.00015072799264429174,7.118244730595577e-05,其他,lh
premature_closure_persistence_5m|mean,1482.7888946533203,606.8796997070312,0.0006536946166257752,0.0005825352313654547,7.11593852603205e-05,其他,mean
threshold_crossing_effort_asym_5m|std,700.6123008728027,247.9110984802246,0.0003088683028809893,0.0002379663534320861,7.090194944890318e-05,其他,std
ud_vol_asym_5m|std,1445.0340976715088,591.6992979049683,0.0006370502327705943,0.0005679637786042991,6.908645416629517e-05,其他,std
trade_to_order_rhythm_lag_5m|mean,1030.0915927886963,401.63140201568604,0.0004541208335626734,0.00038552029637798897,6.860053718468442e-05,其他,mean
novelty_decay_trigger_followthrough_5m|lh,774.53590965271,291.8831977844238,0.0003414578813943038,0.00028017454898412406,6.128333241017976e-05,其他,lh
patience_collapse_resubmit_5m|std,997.2381076812744,399.25939750671387,0.0004396372166232992,0.00038324344283337204,5.6393773789927167e-05,其他,std
size_ladder_geometry_5m|lh,1146.3473072052002,469.9029006958008,0.000505372724469113,0.0004510531413528432,5.431958311626978e-05,大单/分单,lh
present_bias_convexity_5m|std,548.6882038116455,196.48610019683838,0.00024189183391584398,0.0001886042256702874,5.3287608245556576e-05,情绪/行为偏差,std
near_seal_chase_skew_5m|lh,154.72100067138672,16.358699798583984,6.820949737520478e-05,1.570248432532259e-05,5.250701304988219e-05,涨跌停/封板,lh
sell_wall_fill_rate_5m|std,908.0142040252686,367.00189781188965,0.00040030242951734075,0.000352279925587587,4.802250392975377e-05,其他,std
relative_flow_strength_zscore_5m|mean,1665.5984954833984,716.5736017227173,0.0007342871084909565,0.000687828854831415,4.6458253659541486e-05,其他,mean
third_party_spoof_punishment_5m|mean,989.9354934692383,412.6768970489502,0.0004364178240213476,0.0003961227106750147,4.0295113346332896e-05,其他,mean
uplimit_proximity_impact_5m|std,79.64549827575684,0.0,3.5112101020632715e-05,0.0,3.5112101020632715e-05,涨跌停/封板,std
failed_breakout_doubling_5m|mean,465.74279594421387,183.01499938964844,0.0002053249518787039,0.00017567350673331842,2.9651445145385482e-05,其他,mean
queue_position_at_fill_skew_5m|mean,1634.4848041534424,721.237099647522,0.0007205704880070247,0.0006923052804622441,2.8265207544780598e-05,队列/排队,mean
novelty_decay_trigger_followthrough_5m|mean,831.2758922576904,353.3377981185913,0.00036647197565280426,0.0003391639497523782,2.730802590042604e-05,其他,mean
liquidity_vacuum_jump_share_5m|std,994.6201076507568,428.5867004394531,0.0004384830587169065,0.0004113943056938292,2.7088753023077306e-05,流动性/枯竭,std
di_persistence_5m|mean,1345.2333946228027,596.738899230957,0.0005930526127765088,0.0005728012205649409,2.0251392211567904e-05,其他,mean
sunk_wait_hazard_slope_5m|lh,1144.333890914917,504.6164960861206,0.0005044851002127332,0.000484374230082601,2.0110870130132222e-05,其他,lh
cancel_at_touch_ratio_5m|lh,132.97990036010742,40.258901596069336,5.8624828725304316e-05,3.8643949644561836e-05,1.998087908074248e-05,撤单/犹豫,lh
cue_revisit_relapse_surge_5m|mean,575.1660003662109,247.8989963531494,0.0002535646978887554,0.00023795473677165214,1.5609961117103282e-05,其他,mean
fluct_dissip_5m|std,1782.3932991027832,807.0438976287842,0.0007857766594655791,0.0007746700109662858,1.1106648499293313e-05,其他,std
cancel_submit_ratio_asym_5m|lh,573.9832000732422,252.3310956954956,0.0002530432546901686,0.0002422090461793893,1.0834208510779292e-05,撤单/犹豫,lh
limit_lock_t1_overhang_5m|std,20.70319938659668,0.0,9.127105034808399e-06,0.0,9.127105034808399e-06,涨跌停/封板,std
order_aggression_ratio_orders_5m|mean,1095.8459072113037,495.9379997253418,0.0004831089393631465,0.0004760438642986226,7.065075064523934e-06,侵略性/主动,mean
overpay_regret_share_5m|mean,1472.6535015106201,669.9936027526855,0.0006492263798061853,0.0006431173733135637,6.109006492621672e-06,情绪/行为偏差,mean
passive_buy_depth_dist_5m|mean,2505.653314590454,1150.3035984039307,0.001104629316273145,0.0011041601377673915,4.691785057534849e-07,流动性/枯竭,mean
house_money_bet_escalation_5m|lh,875.0960025787354,401.54769706726074,0.0003857902820685749,0.0003854399491831151,3.503328854597928e-07,其他,lh
gap_impatience_5m|std,0.0,0.0,0.0,0.0,0.0,其他,std
gap_impatience_5m|lh,0.0,0.0,0.0,0.0,0.0,其他,lh
rival_crossing_count_5m|lh,334.0737018585205,155.8129005432129,0.0001472779984046329,0.00014956259718603256,-2.284598781399674e-06,其他,lh
pre_move_liquidity_evaporation_lead_5m|lh,278.9501037597656,130.89250087738037,0.00012297649503073305,0.00012564185837723177,-2.6653633464987243e-06,流动性/枯竭,lh
board_break_reseal_aggression_5m|mean,208.90610313415527,99.35099792480469,9.209726043368737e-05,9.536561626703621e-05,-3.2683558333488396e-06,涨跌停/封板,mean
burst_homog_5m|std,454.48130798339844,214.3712978363037,0.00020036027074187747,0.00020577197366046144,-5.411702918583968e-06,其他,std
tail_gamble_skew_5m|lh,678.6595077514648,319.94960021972656,0.00029919030843750304,0.00030711509130929623,-7.92478287179319e-06,大单/分单,lh
pump_to_fomo_lag_5m|lh,62.99970054626465,39.008798599243164,2.777372102301703e-05,3.744399347723851e-05,-9.67027245422148e-06,其他,lh
first_mover_anchor_follow_5m|std,21.43670082092285,20.975000381469727,9.450472670373547e-06,2.0133605895877695e-05,-1.0683133225504148e-05,情绪/行为偏差,std
prevent_defense_lead_passivation_5m|mean,1021.5007019042969,482.07180404663086,0.000450333497992923,0.00046273389938835134,-1.2400401395428319e-05,其他,mean
deindividuation_5m|lh,1117.659101486206,527.1085052490234,0.0004927253909836921,0.0005059639912295147,-1.3238600245822608e-05,情绪/行为偏差,lh
near_seal_chase_skew_5m|mean,292.7351989746094,150.91970443725586,0.0001290537205643947,0.0001448656875232505,-1.58119669588558e-05,涨跌停/封板,mean
size_distribution_regime_shift_5m|lh,829.0995998382568,400.20680046081543,0.0003655125466714321,0.00038415284151540127,-1.864029484396917e-05,大单/分单,lh
exec_backloading_buy_5m|lh,389.3395004272461,204.94290161132812,0.00017164219153972308,0.00019672178961414592,-2.507959807442284e-05,其他,lh
scarcity_panic_buy_elasticity_5m|std,60.43819808959961,54.13349914550781,2.6644470343818276e-05,5.1961979391588276e-05,-2.531750904777e-05,其他,std
fractional_reserve_liq_5m|lh,340.78529930114746,186.32210063934326,0.00015023683842091878,0.00017884794639997718,-2.8611107979058394e-05,其他,lh
pressure_point_execution_choke_5m|lh,205.01090049743652,124.06619834899902,9.038004161483125e-05,0.0001190893872290604,-2.8709345614229157e-05,其他,lh
limit_lock_t1_overhang_5m|lh,17.87849998474121,38.237199783325195,7.881822716309055e-06,3.6703346698364425e-05,-2.882152398205537e-05,涨跌停/封板,lh
phantom_jam_amplification_5m|std,667.2855024337769,337.47129917144775,0.00029417602348267544,0.0003239339220556272,-2.975789857295177e-05,其他,std
cancel_submit_ratio_asym_5m|std,550.186897277832,286.55690002441406,0.00024255254013933332,0.00027506191117559884,-3.2509371036265524e-05,撤单/犹豫,std
cancel_at_touch_ratio_5m|mean,368.3242988586426,208.3539981842041,0.0001623775388422037,0.00019999605291912956,-3.761851407692586e-05,撤单/犹豫,mean
wash_intensity_5m|std,420.3901023864746,234.91620063781738,0.00018533099877110113,0.0002254927349787888,-4.016173620768768e-05,其他,std
frame_break_withdrawal_5m|mean,1641.8778038024902,795.9674005508423,0.0007238297274636493,0.0007640378382455101,-4.020811078186081e-05,撤单/犹豫,mean
board_break_reseal_aggression_5m|lh,0.0,44.152099609375,0.0,4.2380975296478314e-05,-4.2380975296478314e-05,涨跌停/封板,lh
first_mover_anchor_follow_5m|lh,19.852699279785156,55.588199615478516,8.75215797169843e-06,5.3358325776631155e-05,-4.460616780493272e-05,情绪/行为偏差,lh
